"","x"
"195",109
"196",626
"197",333
"198",1140
"199",1240
"200",281
"201",73
"202",1194
"203",1147
"204",1397
"205",1268
"206",887
"207",1035
"208",1218
"209",1012
"210",275
"211",259
"212",288
"213",899
"214",58
"215",85
"216",1114
"217",944
"218",136
"219",95
"220",633
"221",348
"222",300
"223",324
"224",1257
"225",910
"226",948
"227",256
"228",272
"229",905
"230",1409
"231",1227
"232",902
"233",901
"234",1092
"235",883
"236",270
"237",89
"238",1150
"239",999
"240",897
"241",659
"242",914
"243",1082
"244",886
"245",945
"246",111
"247",263
"248",911
"249",266
"250",924
"251",917
"252",1084
"253",103
"254",123
"255",280
"256",1216
"257",1467
"258",116
"259",1331
"260",1053
"261",876
"262",107
"263",642
"264",326
"265",881
"266",66
"267",873
"268",98
"269",885
"270",1430
"271",1100
"272",252
"273",1178
"274",1335
"275",79
"276",923
"277",990
"278",262
"279",342
"280",327
"281",1160
"282",158
"283",68
"284",155
"285",622
"286",904
"287",110
"288",1155
"289",630
"290",952
"291",641
"292",1377
"293",1116
"294",345
"295",94
"296",1333
"297",221
"298",639
"299",680
"300",918
"301",927
"302",920
"303",154
"304",699
"305",108
"306",925
"307",860
"308",1394
"309",1359
"310",922
"311",1419
"312",937
"313",86
"314",105
"315",921
"316",52
"317",562
"318",686
"319",77
"320",898
"321",820
"322",251
"323",913
"324",1214
"325",99
"326",1167
"327",1208
"328",857
"329",147
"330",358
"331",864
"332",233
"333",943
"334",1368
"335",880
"336",929
"337",113
"338",872
"339",289
"340",1161
"341",941
"342",1192
"343",951
"344",120
"345",1231
"346",129
"347",322
"348",634
"349",311
"350",115
"351",1013
"352",942
"353",152
"354",337
"355",253
"356",1159
"357",76
"358",854
"359",179
"360",185
"361",894
"362",671
"363",308
"364",286
"365",172
"366",928
"367",1139
"368",888
"369",133
"370",60
"371",947
"372",875
"373",665
"374",955
"375",874
"376",1387
"377",670
"378",871
"379",900
"380",1028
"381",231
"382",291
"383",938
"384",314
"385",754
"386",993
"387",1110
"388",329
"389",861
"390",307
"391",867
"392",625
"393",234
"394",588
"395",935
"396",1018
"397",1367
"398",249
"399",182
"400",1198
"401",83
"402",190
"403",255
"404",800
"405",879
"406",555
"407",184
"408",804
"409",903
"410",1307
"411",1034
"412",585
"413",581
"414",70
"415",117
"416",1196
"417",1131
"418",213
"419",296
"420",796
"421",243
"422",946
"423",834
"424",293
"425",582
"426",1451
"427",774
"428",629
"429",1485
"430",812
"431",742
"432",1446
"433",1228
"434",161
"435",1374
"436",323
"437",127
"438",936
"439",422
"440",194
"441",1179
"442",61
"443",939
"444",1153
"445",912
"446",739
"447",204
"448",613
"449",791
"450",1045
"451",313
"452",764
"453",953
"454",733
"455",351
"456",1352
"457",940
"458",121
"459",966
"460",677
"461",643
"462",806
"463",424
"464",823
"465",199
"466",426
"467",118
"468",603
"469",338
"470",1111
"471",297
"472",244
"473",315
"474",766
"475",547
"476",285
"477",425
"478",187
"479",926
"480",1206
"481",1297
"482",916
"483",230
"484",224
"485",577
"486",730
"487",869
"488",355
"489",135
"490",976
"491",557
"492",1199
"493",728
"494",71
"495",609
"496",1363
"497",91
"498",282
"499",222
"500",1234
"501",416
"502",406
"503",1282
"504",523
"505",1236
"506",933
"507",429
"508",188
"509",101
"510",957
"511",878
"512",570
"513",962
"514",595
"515",414
"516",584
"517",892
"518",405
"519",1288
"520",960
"521",781
"522",908
"523",564
"524",192
"525",248
"526",1256
"527",735
"528",614
"529",420
"530",663
"531",1334
"532",208
"533",771
"534",238
"535",415
"536",958
"537",599
"538",305
"539",906
"540",356
"541",150
"542",845
"543",950
"544",967
"545",206
"546",890
"547",554
"548",142
"549",197
"550",1279
"551",318
"552",88
"553",209
"554",394
"555",241
"556",550
"557",882
"558",545
"559",972
"560",398
"561",54
"562",597
"563",1511
"564",763
"565",290
"566",780
"567",675
"568",591
"569",786
"570",140
"571",576
"572",211
"573",1287
"574",247
"575",1211
"576",572
"577",891
"578",623
"579",762
"580",777
"581",183
"582",151
"583",930
"584",528
"585",767
"586",685
"587",1020
"588",239
"589",1272
"590",832
"591",611
"592",744
"593",479
"594",353
"595",773
"596",701
"597",529
"598",1204
"599",567
"600",236
"601",579
"602",583
"603",783
"604",423
"605",830
"606",590
"607",963
"608",602
"609",896
"610",779
"611",1048
"612",250
"613",770
"614",608
"615",304
"616",1170
"617",843
"618",240
"619",985
"620",320
"621",745
"622",959
"623",560
"624",884
"625",339
"626",931
"627",610
"628",534
"629",431
"630",246
"631",1480
"632",1250
"633",1489
"634",853
"635",122
"636",257
"637",215
"638",965
"639",340
"640",795
"641",1089
"642",954
"643",598
"644",1463
"645",596
"646",870
"647",310
"648",835
"649",1449
"650",1438
"651",321
"652",357
"653",74
"654",189
"655",769
"656",376
"657",934
"658",565
"659",542
"660",1366
"661",646
"662",381
"663",907
"664",1166
"665",1083
"666",1471
"667",722
"668",700
"669",418
"670",654
"671",813
"672",1302
"673",245
"674",1298
"675",336
"676",360
"677",1454
"678",217
"679",568
"680",600
"681",284
"682",751
"683",559
"684",402
"685",1450
"686",784
"687",393
"688",367
"689",760
"690",242
"691",413
"692",775
"693",417
"694",798
"695",604
"696",792
"697",1248
"698",128
"699",232
"700",841
"701",198
"702",1038
"703",235
"704",430
"705",210
"706",620
"707",1303
"708",216
"709",748
"710",1262
"711",789
"712",177
"713",640
"714",1357
"715",569
"716",143
"717",1491
"718",227
"719",895
"720",191
"721",330
"722",176
"723",352
"724",708
"725",553
"726",787
"727",749
"728",915
"729",842
"730",1247
"731",148
"732",856
"733",776
"734",1225
"735",788
"736",932
"737",156
"738",1432
"739",761
"740",638
"741",78
"742",1200
"743",606
"744",421
"745",481
"746",994
"747",852
"748",200
"749",1193
"750",1364
"751",301
"752",412
"753",592
"754",1349
"755",724
"756",126
"757",737
"758",919
"759",968
"760",793
"761",964
"762",181
"763",219
"764",383
"765",790
"766",51
"767",778
"768",785
"769",1019
"770",153
"771",563
"772",971
"773",653
"774",753
"775",347
"776",580
"777",229
"778",214
"779",571
"780",164
"781",1379
"782",59
"783",461
"784",794
"785",401
"786",593
"787",756
"788",404
"789",346
"790",1361
"791",772
"792",715
"793",419
"794",1476
"795",741
"796",676
"797",561
"798",382
"799",717
"800",682
"801",1494
"802",1323
"803",427
"804",157
"805",514
"806",556
"807",738
"808",207
"809",702
"810",174
"811",225
"812",1503
"813",877
"814",1123
"815",713
"816",1187
"817",1239
"818",432
"819",607
"820",969
"821",711
"822",605
"823",403
"824",1427
"825",1030
"826",354
"827",84
"828",265
"829",1050
"830",202
"831",390
"832",274
"833",734
"834",956
"835",712
"836",840
"837",750
"838",1416
"839",335
"840",69
"841",816
"842",1373
"843",212
"844",389
"845",268
"846",1115
"847",1005
"848",482
"849",666
"850",380
"851",743
"852",836
"853",1461
"854",407
"855",746
"856",961
"857",399
"858",1304
"859",1180
"860",797
"861",589
"862",193
"863",587
"864",549
"865",1221
"866",1428
"867",160
"868",186
"869",223
"870",170
"871",409
"872",811
"873",693
"874",1337
"875",831
"876",818
"877",865
"878",974
"879",548
"880",175
"881",782
"882",166
"883",1181
"884",698
"885",237
"886",824
"887",535
"888",540
"889",578
"890",1060
"891",1284
"892",893
"893",137
"894",167
"895",1108
"896",949
"897",536
"898",92
"899",980
"900",178
"901",574
"902",1378
"903",261
"904",817
"905",868
"906",660
"907",987
"908",1177
"909",1299
"910",1421
"911",226
"912",736
"913",317
"914",171
"915",765
"916",460
"917",520
"918",428
"919",391
"920",165
"921",144
"922",726
"923",678
"924",173
"925",1009
"926",446
"927",1285
"928",260
"929",1215
"930",648
"931",384
"932",388
"933",612
"934",594
"935",1466
"936",375
"937",203
"938",1134
"939",295
"940",1478
"941",138
"942",1444
"943",125
"944",362
"945",371
"946",727
"947",838
"948",827
"949",1308
"950",344
"951",725
"952",201
"953",850
"954",1324
"955",472
"956",732
"957",159
"958",709
"959",543
"960",1233
"961",483
"962",494
"963",145
"964",1149
"965",195
"966",636
"967",691
"968",1087
"969",759
"970",826
"971",573
"972",168
"973",721
"974",866
"975",1316
"976",1063
"977",697
"978",714
"979",989
"980",146
"981",819
"982",687
"983",575
"984",132
"985",837
"986",397
"987",692
"988",801
"989",228
"990",707
"991",485
"992",586
"993",1290
"994",1443
"995",846
"996",1246
"997",334
"998",363
"999",218
"1000",1505
"1001",469
"1002",601
"1003",616
"1004",1318
"1005",546
"1006",359
"1007",1473
"1008",848
"1009",1493
"1010",1264
"1011",558
"1012",537
"1013",56
"1014",644
"1015",395
"1016",1273
"1017",768
"1018",704
"1019",647
"1020",552
"1021",332
"1022",377
"1023",1275
"1024",683
"1025",1077
"1026",673
"1027",328
"1028",1439
"1029",350
"1030",752
"1031",319
"1032",821
"1033",705
"1034",1229
"1035",411
"1036",386
"1037",55
"1038",441
"1039",349
"1040",519
"1041",131
"1042",1300
"1043",53
"1044",847
"1045",410
"1046",408
"1047",649
"1048",755
"1049",1470
"1050",805
"1051",681
"1052",1426
"1053",1274
"1054",1057
"1055",909
"1056",1132
"1057",679
"1058",400
"1059",163
"1060",664
"1061",517
"1062",474
"1063",688
"1064",385
"1065",162
"1066",387
"1067",538
"1068",1342
"1069",396
"1070",855
"1071",379
"1072",1296
"1073",669
"1074",93
"1075",1286
"1076",1125
"1077",1258
"1078",102
"1079",366
"1080",858
"1081",667
"1082",471
"1083",196
"1084",566
"1085",696
"1086",1312
"1087",1399
"1088",104
"1089",1405
"1090",758
"1091",1293
"1092",716
"1093",1066
"1094",1320
"1095",478
"1096",361
"1097",378
"1098",658
"1099",986
"1100",1472
"1101",306
"1102",530
"1103",1376
"1104",1425
"1105",331
"1106",1081
"1107",473
"1108",1029
"1109",1172
"1110",617
"1111",364
"1112",684
"1113",618
"1114",544
"1115",533
"1116",747
"1117",1195
"1118",808
"1119",1384
"1120",1418
"1121",220
"1122",1309
"1123",757
"1124",810
"1125",657
"1126",521
"1127",1151
"1128",124
"1129",828
"1130",372
"1131",205
"1132",889
"1133",1037
"1134",729
"1135",1401
"1136",1027
"1137",368
"1138",287
"1139",451
"1140",1138
"1141",365
"1142",504
"1143",720
"1144",1510
"1145",718
"1146",119
"1147",1061
"1148",303
"1149",863
"1150",651
"1151",1321
"1152",1145
"1153",369
"1154",475
"1155",1487
"1156",740
"1157",1097
"1158",1074
"1159",991
"1160",134
"1161",731
"1162",527
"1163",1440
"1164",650
"1165",507
"1166",1098
"1167",1205
"1168",703
"1169",1385
"1170",627
"1171",373
"1172",465
"1173",513
"1174",491
"1175",1345
"1176",1096
"1177",1188
"1178",341
"1179",169
"1180",862
"1181",1064
"1182",509
"1183",1396
"1184",1190
"1185",510
"1186",1090
"1187",1369
"1188",1095
"1189",541
"1190",539
"1191",803
"1192",450
"1193",448
"1194",1429
"1195",497
"1196",656
"1197",652
"1198",1477
"1199",503
"1200",470
"1201",695
"1202",1036
"1203",1462
"1204",710
"1205",484
"1206",149
"1207",141
"1208",1075
"1209",1021
"1210",532
"1211",1498
"1212",1415
"1213",851
"1214",551
"1215",370
"1216",67
"1217",672
"1218",1076
"1219",815
"1220",689
"1221",511
"1222",489
"1223",1080
"1224",662
"1225",477
"1226",512
"1227",440
"1228",1235
"1229",1267
"1230",1389
"1231",1222
"1232",1126
"1233",674
"1234",645
"1235",1265
"1236",1346
"1237",814
"1238",492
"1239",1042
"1240",1237
"1241",1024
"1242",476
"1243",180
"1244",719
"1245",655
"1246",57
"1247",526
"1248",624
"1249",488
"1250",1176
"1251",506
"1252",1049
"1253",1040
"1254",723
"1255",1102
"1256",1475
"1257",496
"1258",833
"1259",807
"1260",1130
"1261",1386
"1262",1356
"1263",374
"1264",294
"1265",522
"1266",1156
"1267",531
"1268",1388
"1269",1499
"1270",1041
"1271",459
"1272",1278
"1273",809
"1274",1398
"1275",1058
"1276",508
"1277",498
"1278",453
"1279",524
"1280",1051
"1281",1283
"1282",343
"1283",487
"1284",1207
"1285",1103
"1286",1022
"1287",480
"1288",1326
"1289",978
"1290",1500
"1291",1445
"1292",1437
"1293",1121
"1294",1464
"1295",839
"1296",392
"1297",849
"1298",1515
"1299",466
"1300",499
"1301",325
"1302",457
"1303",516
"1304",694
"1305",495
"1306",1023
"1307",1266
"1308",1391
"1309",462
"1310",690
"1311",1468
"1312",1271
"1313",998
"1314",518
"1315",1044
"1316",635
"1317",1243
"1318",1259
"1319",1220
"1320",1301
"1321",139
"1322",434
"1323",706
"1324",1502
"1325",1294
"1326",668
"1327",859
"1328",1360
"1329",1203
"1330",1217
"1331",1310
"1332",1455
"1333",501
"1334",1411
"1335",1456
"1336",525
"1337",1137
"1338",1362
"1339",1325
"1340",1105
"1341",1117
"1342",1141
"1343",1104
"1344",970
"1345",615
"1346",1519
"1347",1158
"1348",1062
"1349",1434
"1350",493
"1351",1254
"1352",1403
"1353",1165
"1354",463
"1355",65
"1356",447
"1357",1122
"1358",1492
"1359",500
"1360",1354
"1361",829
"1362",467
"1363",515
"1364",1482
"1365",1255
"1366",449
"1367",1495
"1368",1410
"1369",1173
"1370",1343
"1371",822
"1372",1230
"1373",1026
"1374",1201
"1375",1184
"1376",1433
"1377",435
"1378",1315
"1379",661
"1380",844
"1381",1055
"1382",1358
"1383",619
"1384",1393
"1385",628
"1386",1112
"1387",1244
"1388",1219
"1389",1497
"1390",1202
"1391",454
"1392",490
"1393",1513
"1394",1365
"1395",486
"1396",1336
"1397",1010
"1398",1209
"1399",437
"1400",456
"1401",1341
"1402",455
"1403",436
"1404",1414
"1405",458
"1406",505
"1407",1422
"1408",1157
"1409",632
"1410",1210
"1411",1327
"1412",438
"1413",130
"1414",802
"1415",1003
"1416",443
"1417",1068
"1418",1289
"1419",1329
"1420",1305
"1421",1261
"1422",1093
"1423",1136
"1424",1039
"1425",1474
"1426",1143
"1427",1011
"1428",1348
"1429",1120
"1430",1517
"1431",1133
"1432",1162
"1433",1054
"1434",1508
"1435",1032
"1436",1431
"1437",1514
"1438",444
"1439",452
"1440",1483
"1441",445
"1442",464
"1443",1260
"1444",631
"1445",1496
"1446",997
"1447",1484
"1448",1006
"1449",1490
"1450",1339
"1451",1269
"1452",1017
"1453",502
"1454",1169
"1455",973
"1456",1481
"1457",1313
"1458",1106
"1459",1351
"1460",1322
"1461",468
"1462",1079
"1463",442
"1464",1263
"1465",1154
"1466",621
"1467",996
"1468",439
"1469",1340
"1470",1212
"1471",1069
"1472",1226
"1473",1252
"1474",1317
"1475",1119
"1476",1253
"1477",1000
"1478",1107
"1479",1488
"1480",1460
"1481",1372
"1482",1056
"1483",433
"1484",1152
"1485",1407
"1486",982
"1487",1072
"1488",1118
"1489",1280
"1490",977
"1491",1124
"1492",1332
"1493",1086
"1494",1506
"1495",1504
"1496",1186
"1497",1291
"1498",1404
"1499",1073
"1500",1101
"1501",1412
"1502",1168
"1503",975
"1504",1392
"1505",1436
"1506",1383
"1507",1197
"1508",1277
"1509",1191
"1510",1406
"1511",1171
"1512",979
"1513",1088
"1514",1295
"1515",1447
"1516",1330
"1517",1004
"1518",1452
"1519",1249
