"","x"
"216",899
"217",332
"218",1222
"219",311
"220",1457
"221",94
"222",1007
"223",326
"224",1310
"225",75
"226",274
"227",1114
"228",1181
"229",950
"230",946
"231",934
"232",181
"233",160
"234",1493
"235",1001
"236",110
"237",889
"238",859
"239",905
"240",247
"241",1352
"242",151
"243",553
"244",108
"245",621
"246",1213
"247",1313
"248",1108
"249",884
"250",78
"251",773
"252",132
"253",856
"254",323
"255",835
"256",932
"257",945
"258",1292
"259",863
"260",184
"261",1517
"262",877
"263",921
"264",1205
"265",989
"266",428
"267",1394
"268",924
"269",290
"270",823
"271",285
"272",187
"273",336
"274",587
"275",897
"276",698
"277",624
"278",258
"279",355
"280",738
"281",308
"282",928
"283",612
"284",1280
"285",1195
"286",265
"287",664
"288",936
"289",1066
"290",640
"291",243
"292",257
"293",147
"294",1163
"295",153
"296",633
"297",178
"298",833
"299",608
"300",1418
"301",1420
"302",952
"303",337
"304",233
"305",1515
"306",1158
"307",982
"308",546
"309",252
"310",146
"311",69
"312",795
"313",51
"314",1139
"315",1247
"316",1383
"317",88
"318",1182
"319",85
"320",281
"321",820
"322",297
"323",763
"324",154
"325",803
"326",1287
"327",679
"328",895
"329",1217
"330",1128
"331",82
"332",906
"333",613
"334",927
"335",1267
"336",741
"337",1469
"338",564
"339",317
"340",1408
"341",1477
"342",1081
"343",1416
"344",844
"345",841
"346",790
"347",1508
"348",907
"349",122
"350",235
"351",853
"352",1174
"353",811
"354",1037
"355",271
"356",275
"357",262
"358",891
"359",115
"360",998
"361",830
"362",65
"363",940
"364",1198
"365",852
"366",556
"367",57
"368",1064
"369",255
"370",607
"371",1187
"372",966
"373",1230
"374",288
"375",939
"376",344
"377",594
"378",84
"379",658
"380",933
"381",942
"382",727
"383",1386
"384",191
"385",114
"386",230
"387",845
"388",881
"389",1044
"390",134
"391",310
"392",581
"393",189
"394",1506
"395",554
"396",1192
"397",628
"398",320
"399",72
"400",1051
"401",1396
"402",925
"403",890
"404",119
"405",842
"406",1261
"407",109
"408",328
"409",949
"410",598
"411",67
"412",954
"413",851
"414",277
"415",1484
"416",622
"417",186
"418",312
"419",584
"420",126
"421",1262
"422",251
"423",642
"424",1033
"425",635
"426",1393
"427",149
"428",938
"429",112
"430",354
"431",60
"432",1099
"433",647
"434",171
"435",120
"436",421
"437",610
"438",424
"439",325
"440",929
"441",1027
"442",256
"443",699
"444",1488
"445",352
"446",87
"447",1440
"448",768
"449",662
"450",780
"451",876
"452",198
"453",992
"454",1017
"455",973
"456",860
"457",868
"458",1344
"459",1098
"460",1012
"461",116
"462",107
"463",1058
"464",1210
"465",1456
"466",1197
"467",321
"468",542
"469",212
"470",1154
"471",831
"472",329
"473",1419
"474",196
"475",1491
"476",1500
"477",1363
"478",721
"479",892
"480",1286
"481",1082
"482",734
"483",774
"484",128
"485",827
"486",1407
"487",1281
"488",631
"489",104
"490",639
"491",287
"492",350
"493",304
"494",1434
"495",250
"496",957
"497",1305
"498",299
"499",155
"500",76
"501",812
"502",322
"503",641
"504",869
"505",887
"506",1148
"507",229
"508",283
"509",183
"510",1162
"511",1362
"512",423
"513",1510
"514",203
"515",309
"516",98
"517",97
"518",1091
"519",150
"520",1109
"521",1152
"522",815
"523",425
"524",295
"525",615
"526",544
"527",1301
"528",652
"529",1365
"530",870
"531",429
"532",1083
"533",1235
"534",813
"535",1283
"536",732
"537",261
"538",975
"539",292
"540",825
"541",59
"542",883
"543",90
"544",753
"545",1479
"546",605
"547",430
"548",307
"549",1076
"550",1450
"551",478
"552",522
"553",1019
"554",405
"555",254
"556",245
"557",772
"558",653
"559",218
"560",240
"561",117
"562",819
"563",1015
"564",1130
"565",1238
"566",305
"567",127
"568",609
"569",637
"570",778
"571",313
"572",335
"573",1278
"574",1296
"575",1348
"576",1438
"577",1303
"578",356
"579",1080
"580",799
"581",306
"582",931
"583",1379
"584",566
"585",188
"586",173
"587",794
"588",419
"589",346
"590",800
"591",1349
"592",716
"593",1143
"594",580
"595",1367
"596",221
"597",303
"598",314
"599",1377
"600",810
"601",289
"602",964
"603",1226
"604",93
"605",786
"606",244
"607",684
"608",58
"609",164
"610",1186
"611",1385
"612",182
"613",1199
"614",528
"615",547
"616",583
"617",284
"618",296
"619",747
"620",1492
"621",1069
"622",676
"623",260
"624",967
"625",208
"626",145
"627",681
"628",140
"629",56
"630",223
"631",710
"632",1088
"633",55
"634",1110
"635",1257
"636",988
"637",714
"638",552
"639",791
"640",1122
"641",822
"642",930
"643",165
"644",316
"645",575
"646",1214
"647",207
"648",961
"649",237
"650",197
"651",805
"652",124
"653",1090
"654",729
"655",797
"656",1032
"657",1188
"658",541
"659",596
"660",700
"661",73
"662",269
"663",300
"664",1322
"665",1255
"666",1323
"667",210
"668",692
"669",460
"670",847
"671",471
"672",1018
"673",351
"674",177
"675",1263
"676",959
"677",956
"678",993
"679",54
"680",359
"681",52
"682",343
"683",601
"684",231
"685",1378
"686",239
"687",743
"688",704
"689",724
"690",77
"691",175
"692",987
"693",1107
"694",163
"695",1333
"696",50
"697",338
"698",1042
"699",1443
"700",760
"701",1227
"702",569
"703",70
"704",984
"705",1436
"706",1356
"707",234
"708",701
"709",125
"710",1160
"711",141
"712",1204
"713",248
"714",908
"715",192
"716",249
"717",962
"718",404
"719",1271
"720",559
"721",708
"722",744
"723",826
"724",156
"725",687
"726",339
"727",1172
"728",779
"729",215
"730",527
"731",558
"732",1423
"733",1165
"734",723
"735",677
"736",1337
"737",353
"738",765
"739",1127
"740",190
"741",837
"742",711
"743",840
"744",742
"745",1166
"746",414
"747",1467
"748",782
"749",131
"750",670
"751",839
"752",1150
"753",787
"754",1460
"755",533
"756",333
"757",1120
"758",802
"759",413
"760",169
"761",994
"762",603
"763",666
"764",422
"765",202
"766",846
"767",238
"768",985
"769",209
"770",1177
"771",1155
"772",1404
"773",971
"774",1203
"775",1412
"776",142
"777",1422
"778",627
"779",53
"780",1360
"781",1282
"782",1452
"783",697
"784",582
"785",1079
"786",176
"787",665
"788",1372
"789",358
"790",267
"791",785
"792",68
"793",91
"794",752
"795",1146
"796",576
"797",761
"798",167
"799",1471
"800",1397
"801",1021
"802",855
"803",1466
"804",1302
"805",264
"806",696
"807",1427
"808",807
"809",415
"810",327
"811",417
"812",806
"813",101
"814",484
"815",850
"816",770
"817",958
"818",319
"819",864
"820",205
"821",136
"822",712
"823",750
"824",769
"825",1514
"826",740
"827",549
"828",185
"829",590
"830",726
"831",1240
"832",762
"833",1433
"834",226
"835",595
"836",702
"837",431
"838",597
"839",194
"840",707
"841",143
"842",393
"843",214
"844",121
"845",793
"846",1374
"847",92
"848",334
"849",680
"850",783
"851",804
"852",397
"853",651
"854",83
"855",246
"856",557
"857",562
"858",1509
"859",567
"860",172
"861",1462
"862",1231
"863",657
"864",375
"865",669
"866",953
"867",158
"868",970
"869",535
"870",513
"871",480
"872",1136
"873",1307
"874",180
"875",788
"876",748
"877",1246
"878",1431
"879",100
"880",691
"881",216
"882",349
"883",792
"884",659
"885",731
"886",416
"887",857
"888",713
"889",1297
"890",144
"891",1157
"892",1402
"893",1497
"894",695
"895",589
"896",990
"897",809
"898",645
"899",571
"900",816
"901",1224
"902",1346
"903",241
"904",646
"905",66
"906",1062
"907",1220
"908",776
"909",1113
"910",170
"911",201
"912",152
"913",1194
"914",1050
"915",1233
"916",1289
"917",979
"918",1421
"919",318
"920",578
"921",199
"922",529
"923",1180
"924",737
"925",401
"926",474
"927",545
"928",1067
"929",1036
"930",532
"931",1502
"932",849
"933",648
"934",1332
"935",411
"936",789
"937",1273
"938",493
"939",865
"940",599
"941",340
"942",380
"943",766
"944",1448
"945",591
"946",682
"947",273
"948",1504
"949",1334
"950",543
"951",626
"952",1288
"953",137
"954",1478
"955",211
"956",1245
"957",690
"958",668
"959",498
"960",817
"961",736
"962",1023
"963",331
"964",162
"965",963
"966",1215
"967",644
"968",656
"969",918
"970",174
"971",674
"972",784
"973",759
"974",1228
"975",379
"976",867
"977",862
"978",324
"979",1029
"980",683
"981",836
"982",733
"983",1028
"984",725
"985",706
"986",1164
"987",200
"988",472
"989",330
"990",1361
"991",159
"992",370
"993",534
"994",259
"995",1126
"996",715
"997",345
"998",1038
"999",1373
"1000",1183
"1001",228
"1002",1133
"1003",302
"1004",468
"1005",838
"1006",1225
"1007",382
"1008",623
"1009",206
"1010",1147
"1011",1249
"1012",755
"1013",832
"1014",1499
"1015",1101
"1016",764
"1017",579
"1018",1311
"1019",1096
"1020",103
"1021",418
"1022",502
"1023",719
"1024",294
"1025",1284
"1026",854
"1027",459
"1028",745
"1029",1308
"1030",518
"1031",1059
"1032",1002
"1033",449
"1034",570
"1035",464
"1036",133
"1037",148
"1038",123
"1039",848
"1040",1234
"1041",483
"1042",977
"1043",392
"1044",643
"1045",130
"1046",777
"1047",1496
"1048",412
"1049",1048
"1050",366
"1051",1065
"1052",735
"1053",118
"1054",888
"1055",758
"1056",751
"1057",1342
"1058",986
"1059",709
"1060",801
"1061",614
"1062",686
"1063",1208
"1064",1219
"1065",286
"1066",213
"1067",775
"1068",420
"1069",1470
"1070",376
"1071",1124
"1072",1102
"1073",403
"1074",997
"1075",490
"1076",348
"1077",539
"1078",555
"1079",440
"1080",1086
"1081",818
"1082",481
"1083",655
"1084",606
"1085",506
"1086",675
"1087",1319
"1088",1144
"1089",672
"1090",1176
"1091",568
"1092",1129
"1093",398
"1094",650
"1095",161
"1096",470
"1097",728
"1098",1468
"1099",1330
"1100",381
"1101",968
"1102",1465
"1103",1455
"1104",462
"1105",1442
"1106",1047
"1107",720
"1108",138
"1109",166
"1110",1304
"1111",739
"1112",617
"1113",828
"1114",469
"1115",388
"1116",551
"1117",983
"1118",1512
"1119",616
"1120",1390
"1121",1490
"1122",536
"1123",402
"1124",519
"1125",1320
"1126",948
"1127",694
"1128",1272
"1129",400
"1130",496
"1131",452
"1132",654
"1133",491
"1134",365
"1135",1004
"1136",749
"1137",1256
"1138",1439
"1139",360
"1140",771
"1141",560
"1142",374
"1143",814
"1144",717
"1145",389
"1146",1395
"1147",1142
"1148",224
"1149",1063
"1150",361
"1151",1449
"1152",649
"1153",548
"1154",1309
"1155",1200
"1156",1375
"1157",678
"1158",972
"1159",408
"1160",1265
"1161",1516
"1162",447
"1163",362
"1164",1159
"1165",1270
"1166",722
"1167",236
"1168",592
"1169",396
"1170",796
"1171",661
"1172",565
"1173",1049
"1174",426
"1175",526
"1176",781
"1177",955
"1178",1444
"1179",843
"1180",1026
"1181",703
"1182",406
"1183",1501
"1184",1341
"1185",960
"1186",516
"1187",1221
"1188",64
"1189",507
"1190",512
"1191",1285
"1192",477
"1193",1074
"1194",1094
"1195",1384
"1196",364
"1197",1461
"1198",1274
"1199",1043
"1200",730
"1201",577
"1202",1103
"1203",1016
"1204",1236
"1205",1398
"1206",537
"1207",377
"1208",387
"1209",1299
"1210",525
"1211",1325
"1212",604
"1213",445
"1214",503
"1215",1242
"1216",1216
"1217",1277
"1218",1315
"1219",1175
"1220",673
"1221",1008
"1222",671
"1223",367
"1224",450
"1225",1495
"1226",688
"1227",767
"1228",573
"1229",1428
"1230",1232
"1231",1264
"1232",618
"1233",858
"1234",1075
"1235",586
"1236",390
"1237",1209
"1238",476
"1239",1035
"1240",1095
"1241",505
"1242",427
"1243",482
"1244",1073
"1245",494
"1246",342
"1247",663
"1248",1097
"1249",746
"1250",179
"1251",195
"1252",861
"1253",479
"1254",1368
"1255",475
"1256",508
"1257",1089
"1258",378
"1259",1410
"1260",1268
"1261",1453
"1262",1336
"1263",1179
"1264",363
"1265",538
"1266",511
"1267",1473
"1268",588
"1269",1400
"1270",1328
"1271",1259
"1272",465
"1273",693
"1274",757
"1275",1253
"1276",1481
"1277",1355
"1278",383
"1279",217
"1280",372
"1281",1518
"1282",222
"1283",1472
"1284",976
"1285",585
"1286",510
"1287",1413
"1288",497
"1289",540
"1290",409
"1291",385
"1292",1387
"1293",705
"1294",487
"1295",1345
"1296",1137
"1297",486
"1298",1040
"1299",1392
"1300",1359
"1301",754
"1302",473
"1303",572
"1304",394
"1305",1252
"1306",369
"1307",399
"1308",489
"1309",495
"1310",371
"1311",574
"1312",520
"1313",1054
"1314",1168
"1315",456
"1316",225
"1317",1092
"1318",1414
"1319",1057
"1320",1424
"1321",227
"1322",386
"1323",1486
"1324",524
"1325",439
"1326",436
"1327",1364
"1328",1494
"1329",1489
"1330",756
"1331",368
"1332",1116
"1333",1189
"1334",1476
"1335",1161
"1336",1340
"1337",168
"1338",384
"1339",509
"1340",1388
"1341",517
"1342",531
"1343",634
"1344",1317
"1345",718
"1346",1482
"1347",1324
"1348",1293
"1349",521
"1350",458
"1351",689
"1352",550
"1353",808
"1354",1475
"1355",1243
"1356",1020
"1357",129
"1358",1498
"1359",434
"1360",1425
"1361",204
"1362",1335
"1363",454
"1364",1068
"1365",293
"1366",1454
"1367",1254
"1368",500
"1369",1426
"1370",1417
"1371",593
"1372",466
"1373",660
"1374",453
"1375",407
"1376",219
"1377",1300
"1378",821
"1379",1229
"1380",488
"1381",499
"1382",1039
"1383",433
"1384",1316
"1385",1314
"1386",1056
"1387",1206
"1388",630
"1389",461
"1390",1061
"1391",1169
"1392",444
"1393",437
"1394",485
"1395",1357
"1396",373
"1397",455
"1398",395
"1399",435
"1400",1140
"1401",1022
"1402",1409
"1403",611
"1404",515
"1405",981
"1406",1432
"1407",410
"1408",1131
"1409",1371
"1410",1437
"1411",1326
"1412",446
"1413",600
"1414",523
"1415",1025
"1416",1338
"1417",1430
"1418",1366
"1419",530
"1420",1171
"1421",443
"1422",1060
"1423",1125
"1424",1202
"1425",1480
"1426",1331
"1427",1201
"1428",667
"1429",1459
"1430",1132
"1431",448
"1432",514
"1433",1312
"1434",1053
"1435",1339
"1436",504
"1437",492
"1438",391
"1439",1463
"1440",1190
"1441",1055
"1442",1298
"1443",999
"1444",1266
"1445",620
"1446",1487
"1447",1119
"1448",1118
"1449",1010
"1450",1041
"1451",451
"1452",1474
"1453",1031
"1454",501
"1455",438
"1456",1507
"1457",1411
"1458",463
"1459",442
"1460",1185
"1461",457
"1462",432
"1463",467
"1464",1005
"1465",1111
"1466",1258
"1467",995
"1468",1279
"1469",1121
"1470",1009
"1471",1260
"1472",441
"1473",1196
"1474",1513
"1475",969
"1476",1350
"1477",974
"1478",1151
"1479",1251
"1480",1446
"1481",1435
"1482",1153
"1483",1503
"1484",1123
"1485",1078
"1486",1290
"1487",1451
"1488",1505
"1489",1329
"1490",1218
"1491",1483
"1492",1106
"1493",1353
"1494",1117
"1495",1156
"1496",1100
"1497",1135
"1498",1321
"1499",1406
"1500",1071
"1501",996
"1502",1211
"1503",978
"1504",1391
"1505",1403
"1506",1105
"1507",1405
"1508",1072
"1509",1104
"1510",1276
"1511",1347
"1512",1085
"1513",1167
"1514",1294
"1515",1382
"1516",1248
"1517",1087
"1518",1003
"1519",1170
